rank,full_name,name,description,language,stars_today,total_stars,ai_related,tags,license,collected_at
1,mattpocock/skills,skills,Skills for Real Engineers. Straight from my .agents directory.,Shell,2666,252551,是,Shell,MIT,2026-09-06
2,affaan-m/ECC,ECC,"The agent harness performance optimization system. Skills, instincts, memory, security, and research-first development for Claude Code, Codex, Opencode, Cursor and beyond.",JavaScript,1325,249848,是,"JavaScript, ai-agents, anthropic, claude, claude-code",MIT,2026-09-06
3,DietrichGebert/ponytail,ponytail,Makes your AI agent think like the laziest senior dev in the room. The best code is the code you never wrote.,JavaScript,2813,127895,是,"JavaScript, agent-skills, ai-agents, claude, claude-code",MIT,2026-09-06
4,NousResearch/hermes-agent,hermes-agent,The agent that grows with you,Python,573,241983,是,"Python, ai, ai-agent, ai-agents, anthropic",MIT,2026-09-06
5,fmtlib/fmt,fmt,A modern formatting library,C++,133,25567,否,"C++, c-plus-plus, chrono, cpp, cross-platform",MIT,2026-09-06
6,anthropics/skills,skills,Public repository for Agent Skills,Python,472,174544,是,"Python, agent-skills",NOASSERTION,2026-09-06
7,cathrynlavery/diagram-design,diagram-design,"38 editorial diagram types for Claude Code, Codex, and Pi. Self-contained HTML + SVG. No shadows. No Mermaid slop.",HTML,852,31668,是,"HTML, agent-skills, claude-code, codex, data-visualization",MIT,2026-09-06
8,anomalyco/opencode,opencode,The open source coding agent.,TypeScript,725,204664,是,TypeScript,MIT,2026-09-06
9,ruvnet/ruflo,ruflo,"🌊 The original agent meta-harness. Deploy intelligent multi-player swarms, coordinate autonomous workflows, and build conversational AI systems. Features adaptive memory, self-learning intelligence, RAG integration, and native Claude Code / Codex / Hermes and many more Integrated",TypeScript,127,70686,是,"TypeScript, agentic-ai, agentic-framework, agentic-workflow, agents",MIT,2026-09-06
10,humanlayer/skills,skills,,TypeScript,408,2679,否,TypeScript,MIT,2026-09-06
11,blader/humanizer,humanizer,Agent skill that removes signs of AI-generated writing from text,Python,988,43451,是,"Python, agent-skills, ai-writing, claude-code, codex",MIT,2026-09-06
12,BraveOPotato/FckSignups,FckSignups,"A list of tools that are open-source, in-browser, and require no-signups!",TypeScript,50,2871,否,TypeScript,GPL-3.0,2026-09-06
13,WorldFlowAI/everything-claude-code,everything-claude-code,"Claude Code toolkit - agents, commands, skills, rules, and hooks for productive AI-assisted development",JavaScript,139,2338,是,JavaScript,NOASSERTION,2026-09-06
14,magnitudedev/magnitude,magnitude,"Open source inference server that runs the best local models for your hardware, plugged into the agent you already use. Works with Pi, OpenCode, Hermes, OpenClaw, Codex, Claude Code, Oh My Pi, and Cline.",TypeScript,686,3181,是,TypeScript,Apache-2.0,2026-09-06
15,bikini/exploitarium,exploitarium,"A single archive of public exploit PoCs and vulnerability research writeups. At the time I post these, none have been reported. Feel free to report them yourself and take credit for the CVE if handed out lulz. Please do not abuse these. I do this so to allure people into the field, and I've always found this is the most efficient way.",Python,232,4698,否,Python,NOASSERTION,2026-09-06
16,nvm-sh/nvm,nvm,Node Version Manager - POSIX-compliant bash script to manage multiple active node.js versions. $nvm: 3ArcxqLtXMmBnWbbtfwQgVL3MNnDsggzgGDtXMnjpump,Shell,57,94910,否,"Shell, bash, install, lts, node",MIT,2026-09-06
